eta,case_id,rep,rhat_signed,dhat_signed,alpha_signed
0.0,case_000,0,-4.05953991862547e-06,0.00110318612349743,0.0011072501583423776
0.0,case_001,0,-5.164319248818425e-05,-0.0008410914927768541,-0.0007894890720247679
0.0,case_002,0,0.00021660649819496206,0.0003709400162850652,0.00015430009568660587
0.0,case_003,0,2.6905829596563928e-05,-0.001467685778446261,-0.001494551395897636
0.02,case_000,0,-0.0008376184032475307,-0.015037333305485756,-0.014211618815698204
0.02,case_000,1,0.003955345060893261,-0.02910264309359957,-0.03292774755085128
0.02,case_000,2,-0.0006292286874153419,-0.032330746979396294,-0.031721478356169834
0.02,case_000,3,-0.004901217861975512,0.006982946772627057,0.011942698401327395
0.02,case_000,4,0.0037469553450610723,-0.032907194101859966,-0.03651732067702297
0.02,case_000,5,0.0016630581867388846,-0.014806754456500143,-0.016442467862450145
0.02,case_000,6,-0.0035466847090661344,0.0371887759897242,0.040880450768430374
0.02,case_000,7,-0.0004208389715831532,-0.04997002892678489,-0.04957005096447093
0.02,case_001,0,-0.0030340375586853856,-0.06817977528089893,-0.06534399385380046
0.02,case_001,1,0.00401525821596258,-0.007818619582664377,-0.011786551749875395
0.02,case_001,2,-0.00023239436619708974,0.01444301765650085,0.01467882329853495
0.02,case_001,3,-0.005926056338028004,0.011563402889245544,0.0175937206067849
0.02,case_001,4,-0.006287558685445945,0.020756019261637313,0.027214691919634295
0.02,case_001,5,0.0004906103286386626,0.06339646869983952,0.06287501124127268
0.02,case_001,6,-0.006197183098591493,-0.0548892455858748,-0.04899569779757817
0.02,case_001,7,-0.004570422535211212,-0.008483146067415705,-0.003930688439225992
0.02,case_002,0,0.002023465703970988,-0.01735818329865206,-0.01934251009681352
0.02,case_002,1,0.0017454873646208305,-0.02047950782592967,-0.02218626933775334
0.02,case_002,2,0.008694945848375579,-0.017857595223016477,-0.026323658288046423
0.02,case_002,3,-0.008539711191335814,0.040074188003256864,0.04903262363942676
0.02,case_002,4,0.002023465703970988,0.07340993395458249,0.07124231187585908
0.02,case_002,5,-0.004231046931407965,-0.045450104044151,-0.04139419790677454
0.02,case_002,6,0.002996389891696741,-0.0020012666244459175,-0.0049827263253482725
0.02,case_002,7,-0.007983754512635497,-0.022976567447751756,-0.015113475211034039
0.02,case_003,0,0.0015807174887892627,-0.039564885967984346,-0.04108066652874049
0.02,case_003,1,-0.00532511210762323,0.05982900348173636,0.0655029260137603
0.02,case_003,2,0.0008901345291480633,-0.028533756360864346,-0.029397722961725832
0.02,case_003,3,-0.004116591928251131,-0.008632233873792151,-0.004534307840597764
0.02,case_003,4,-0.001181614349775784,-0.01579678196913818,-0.014632457541165447
0.02,case_003,5,0.0015807174887892627,0.034582500669564704,0.03294969901529171
0.02,case_003,6,0.00037219730941716366,0.05266445538639047,0.05227280228060878
0.02,case_003,7,0.010903587443946202,-0.021710377222439688,-0.03226219104519132
0.05,case_000,0,0.005205683355886393,-0.029448511367077775,-0.03447473019379572
0.05,case_000,1,0.013749661705006883,0.2027443895612945,0.18643135972881206
0.05,case_000,2,-0.00438024357239519,-0.03440595662026552,-0.03015781160832517
0.05,case_000,3,-0.0027131258457373797,-0.032907194101859966,-0.030276211427858465
0.05,case_000,4,0.008748308525033903,0.03960985390407164,0.030593900498492674
0.05,case_000,5,0.015937753721245014,-0.020571225681137038,-0.035936236515135514
0.05,case_000,6,-0.0035466847090661344,0.0371887759897242,0.040880450768430374
0.05,case_000,7,-0.0021921515561567576,-0.032446036403888885,-0.03032035165379321
0.05,case_001,0,-0.014692488262910702,0.06184590690208674,0.07767970329390955
0.05,case_001,1,-0.003214788732394291,0.013667736757624458,0.016936974284108113
0.05,case_001,2,-0.018759389671361336,-0.04148796147672548,-0.023163097375017743
0.05,case_001,3,-0.02083802816901401,0.07845906902086683,0.10141028761993286
0.05,case_001,4,-0.00448004694835676,0.2080417335473517,0.21347817273199723
0.05,case_001,5,0.0059131455399062186,0.07569020866773686,0.06936688663152825
0.05,case_001,6,0.004105633802817033,-0.10251364365971109,-0.10618332760342392
0.05,case_001,7,-0.0010457746478872948,-0.09332102728731946,-0.09237185278124913
0.05,case_002,0,-0.015350180505415282,-0.00424862028408595,0.011274627793084453
0.05,case_002,1,0.006471119133573915,0.08414729032841747,0.0771767512432065
0.05,case_002,2,-0.011041516245487234,-0.1021333574595133,-0.09210886271808108
0.05,case_002,3,-0.005203971119133517,-0.09976115081878233,-0.09505182666041047
0.05,case_002,4,-0.0013122743682311066,0.23234777888356095,0.23396708225684748
0.05,case_002,5,-0.0010342960288807484,-0.01735818329865206,-0.01634078848240754
0.05,case_002,6,0.006749097472924073,-0.0977635031213245,-0.10381196353350525
0.05,case_002,7,0.007027075812274231,-0.065426581018728,-0.07194807227259574
0.05,case_003,0,-0.027078475336322756,0.05209584045818827,0.0813779053987733
