case_id,true_ic_name,recovered_ic_name,true_rhat,true_dhat,true_alpha,estimated_rhat,estimated_dhat,estimated_alpha,rhat_signed,dhat_signed,alpha_signed,loss
case_000,Random spaced,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.28,0.000168,0.0006,-0.6211096075778078,0.7544042857590407,3.630374168485468,12.49853346018235
case_000,One central cluster,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.8694350000000001,0.000168,0.00019322893603317094,0.17650202976995952,0.7544042857590407,0.49120379001987613,2.1188466064896487
case_000,Many clusters,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.7470050000000001,0.000168,0.00022489809305158595,0.010832205683356091,0.7544042857590407,0.7356038676795081,2.3342021645035462
case_000,Clusters + singles,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.8896090000000001,0.000168,0.0001888470103157679,0.2038010825439785,0.7544042857590407,0.45738719726973415,4.0527678291302704
case_001,Random spaced,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.28,0.000168,0.0006,-0.6713615023474178,0.6853932584269663,4.128410914927769,12.640110371539677
case_001,One central cluster,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.87675,0.000168,0.00019161676646706584,0.029049295774647946,0.6853932584269663,0.6378158610547764,2.1363231165039216
case_001,Many clusters,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.8144570000000001,0.000168,0.0002062723998934259,-0.04406455399061019,0.6853932584269663,0.7630827117696517,2.396897575387059
case_001,Clusters + singles,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.9555980000000001,0.000168,0.00017580614442474764,0.12159389671361512,0.6853932584269663,0.5026769166320726,4.056879352751041
case_002,Random spaced,Clusters + singles,0.554,8.8424e-05,0.0001596101083032491,0.28,0.000168,0.0006,-0.49458483754512633,0.8999366687777072,2.759160408938749,12.346391277968685
case_002,One central cluster,Random spaced,0.554,8.8424e-05,0.0001596101083032491,0.8553440000000001,0.000168,0.000196412203744926,0.543942238267148,0.8999366687777072,0.23057496691722834,2.0887965734874494
