record_id,case_id,ic_name,recovered_ic_name,ic_correct,feature_set,single_snapshot,true_rhat,true_dhat,true_alpha,true_tau,estimated_rhat,estimated_dhat,estimated_alpha,estimated_dhat_over_rhat,estimated_tau,rhat_relative_error,dhat_relative_error,alpha_relative_error,rhat_signed_relative_error,dhat_signed_relative_error,dimensions_used,estimated_length_scale_ratio,loss,loss_at_true_parameters,estimate_loss_not_above_truth,success,any_start_succeeded,coarse_rhat,coarse_dhat
case_000|Random spaced|h0,case_000,Random spaced,Random spaced,True,h0,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7389970000000001,9.580944000000001e-05,0.00012964794173724655,0.00012964794173724655,0.7389970000000001,4.05953991862547e-06,0.0005267390010338964,0.000530800695759103,-4.05953991862547e-06,0.0005267390010338964,h0,0.01138630500808961,1.9341012473896942e-07,0.0,False,True,True,0.75,0.000104
case_000|Random spaced|h0h1,case_000,Random spaced,Random spaced,True,h0h1,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.73892,9.573216e-05,0.00012955686677854165,0.00012955686677854165,0.73892,0.00010825439783487008,0.0002802869704153902,0.00017205119787933154,-0.00010825439783487008,-0.0002802869704153902,h0h1,0.01138230498530687,8.319213332323451e-07,0.0,False,True,True,0.75,9.6e-05
case_000|One central cluster|h0,case_000,One central cluster,One central cluster,True,h0,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.73892,9.575424e-05,0.0001295867482271423,0.0001295867482271423,0.73892,0.00010825439783487008,4.970812142992018e-05,5.855261498300492e-05,-0.00010825439783487008,-4.970812142992018e-05,h0,0.011383617536931848,7.209116481943013e-07,0.0,False,True,True,0.75,9.6e-05
case_000|One central cluster|h0h1,case_000,One central cluster,One central cluster,True,h0h1,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7389970000000001,9.564384e-05,0.00012942385422403605,0.00012942385422403605,0.7389970000000001,4.05953991862547e-06,0.0012026023663572704,0.0011985476919909302,-4.05953991862547e-06,-0.0012026023663572704,h0h1,0.011376460531467424,5.754196335596902e-06,0.0,False,True,True,0.75,9.6e-05
case_000|Many clusters|h0,case_000,Many clusters,Many clusters,True,h0,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.739074,9.586463999999999e-05,0.00012970912249652943,0.00012970912249652943,0.739074,0.00010013531799731867,0.00110318612349743,0.0010029503747453876,0.00010013531799731867,0.00110318612349743,h0,0.011388991285295174,1.0538409592507568e-07,0.0,False,True,True,0.75,0.000112
case_000|Many clusters|h0h1,case_000,Many clusters,Many clusters,True,h0h1,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7389970000000001,9.586463999999999e-05,0.00012972263757498337,0.00012972263757498337,0.7389970000000001,4.05953991862547e-06,0.00110318612349743,0.0011072501583423776,-4.05953991862547e-06,0.00110318612349743,h0h1,0.011389584609413259,1.7424692285435588e-06,0.0,False,True,True,0.75,9.6e-05
case_000|Clusters + singles|h0,case_000,Clusters + singles,Clusters + singles,True,h0,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.73892,9.577632e-05,0.00012961662967574296,0.00012961662967574296,0.73892,0.00010825439783487008,0.00018087072755554985,0.0002891564278453414,-0.00010825439783487008,0.00018087072755554985,h0,0.011384929937234702,3.4926807128919155e-07,0.0,False,True,True,0.75,0.000104
case_000|Clusters + singles|h0h1,case_000,Clusters + singles,Clusters + singles,True,h0h1,True,0.739,9.5759e-05,0.00012957916102841678,0.739,0.738843,9.58536e-05,0.000129734733901519,0.000129734733901519,0.738843,0.00021244925575096446,0.0009878966990048365,0.001200601021549377,-0.00021244925575096446,0.0009878966990048365,h0h1,0.011390115622833642,1.483791827295784e-06,0.0,False,True,True,0.75,9.6e-05
case_001|Random spaced|h0,case_001,Random spaced,Random spaced,True,h0,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.852033,9.975072000000001e-05,0.00011707377531151962,0.00011707377531151962,0.852033,3.87323943662685e-05,0.0007094703049760647,0.000670711932330707,3.87323943662685e-05,0.0007094703049760647,h0,0.010820063553950116,1.8251989686558378e-07,0.0,False,True,True,0.85,9.6e-05
case_001|Random spaced|h0h1,case_001,Random spaced,Random spaced,True,h0h1,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.852033,9.964032000000001e-05,0.00011694420286538199,0.00011694420286538199,0.852033,3.87323943662685e-05,0.00039807383627592306,0.0004367893127462039,3.87323943662685e-05,-0.00039807383627592306,h0h1,0.010814074295351498,3.3754677729205416e-07,0.0,False,True,True,0.85,0.000104
case_001|One central cluster|h0,case_001,One central cluster,One central cluster,True,h0,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.852033,9.980592e-05,0.00011713856153458844,0.00011713856153458844,0.852033,3.87323943662685e-05,0.0012632423756019225,0.0012244625548691625,3.87323943662685e-05,0.0012632423756019225,h0,0.010823056940374491,4.7141937367591347e-07,0.0,False,True,True,0.85,9.6e-05
case_001|One central cluster|h0h1,case_001,One central cluster,One central cluster,True,h0h1,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.852033,9.957408000000001e-05,0.0001168664593976994,0.0001168664593976994,0.852033,3.87323943662685e-05,0.0010626003210271156,0.0011012900597924431,3.87323943662685e-05,-0.0010626003210271156,h0h1,0.010810479147461475,4.183125293080525e-06,0.0,False,True,True,0.85,0.000104
case_001|Many clusters|h0,case_001,Many clusters,Many clusters,True,h0,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.851956,9.96624e-05,0.00011698068914357079,0.00011698068914357079,0.851956,5.164319248818425e-05,0.00017656500802566146,0.00012492826723196592,-5.164319248818425e-05,-0.00017656500802566146,h0,0.010815761144901952,7.767975745064508e-08,0.0,False,True,True,0.85,9.6e-05
case_001|Many clusters|h0h1,case_001,Many clusters,Many clusters,True,h0h1,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.851956,9.959616e-05,0.00011690293864941381,0.00011690293864941381,0.851956,5.164319248818425e-05,0.0008410914927768541,0.0007894890720247679,-5.164319248818425e-05,-0.0008410914927768541,h0h1,0.010812166232971716,2.2864998750524844e-06,0.0,False,True,True,0.85,9.6e-05
case_001|Clusters + singles|h0,case_001,Clusters + singles,Clusters + singles,True,h0,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.852033,9.975072000000001e-05,0.00011707377531151962,0.00011707377531151962,0.852033,3.87323943662685e-05,0.0007094703049760647,0.000670711932330707,3.87323943662685e-05,0.0007094703049760647,h0,0.010820063553950116,8.274534020982538e-08,0.0,False,True,True,0.85,9.6e-05
case_001|Clusters + singles|h0h1,case_001,Clusters + singles,Clusters + singles,True,h0h1,True,0.852,9.968e-05,0.00011699530516431924,0.852,0.851956,9.962928e-05,0.0001169418138964923,0.0001169418138964923,0.851956,5.164319248818425e-05,0.0005088282504012578,0.00045720866962842483,-5.164319248818425e-05,-0.0005088282504012578,h0h1,0.010813963838319984,3.441321183207656e-07,0.0,False,True,True,0.85,9.6e-05
case_002|Random spaced|h0,case_002,Random spaced,Random spaced,True,h0,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.553966,8.82912e-05,0.00015938017856691566,0.00015938017856691566,0.553966,6.137184115539622e-05,0.0015018547000815003,0.0014405712694373273,-6.137184115539622e-05,-0.0015018547000815003,h0,0.01262458627309884,5.437298292696942e-07,0.0,False,True,True,0.55,8.8e-05
case_002|Random spaced|h0h1,case_002,Random spaced,Random spaced,True,h0h1,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.554197,8.828016e-05,0.0001592938251199483,0.0001592938251199483,0.554197,0.000355595667870041,0.0016267076811726047,0.0019815987011291333,0.000355595667870041,-0.0016267076811726047,h0h1,0.012621165759150314,5.171275169873943e-06,0.0,False,True,True,0.55,8.8e-05
case_002|One central cluster|h0,case_002,One central cluster,One central cluster,True,h0,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5538890000000001,8.843472e-05,0.00015966144841294915,0.00015966144841294915,0.5538890000000001,0.00020036101083027478,0.00012123405410285646,0.0003216595129583352,-0.00020036101083027478,0.00012123405410285646,h0,0.012635721127539542,1.0434826621511003e-06,0.0,False,True,True,0.55,8.8e-05
case_002|One central cluster|h0h1,case_002,One central cluster,One central cluster,True,h0h1,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5540430000000001,8.84016e-05,0.00015955729067960428,0.00015955729067960428,0.5540430000000001,7.761732851988312e-05,0.00025332488917045664,0.0003309165328330559,7.761732851988312e-05,-0.00025332488917045664,h0h1,0.012631598896402793,2.5449375112197134e-06,0.0,False,True,True,0.55,8.8e-05
case_002|Many clusters|h0,case_002,Many clusters,Many clusters,True,h0,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5540430000000001,8.844576000000001e-05,0.0001596369956844505,0.0001596369956844505,0.5540430000000001,7.761732851988312e-05,0.0002460870351941141,0.0001684566315205798,7.761732851988312e-05,0.0002460870351941141,h0,0.012634753487284605,3.640328967777487e-08,0.0,False,True,True,0.55,8e-05
case_002|Many clusters|h0h1,case_002,Many clusters,Many clusters,True,h0h1,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5541200000000001,8.84568e-05,0.00015963473615823284,0.00015963473615823284,0.5541200000000001,0.00021660649819496206,0.0003709400162850652,0.00015430009568660587,0.00021660649819496206,0.0003709400162850652,h0h1,0.012634664069860854,2.1607541889980877e-06,0.0,False,True,True,0.55,8.8e-05
case_002|Clusters + singles|h0,case_002,Clusters + singles,Clusters + singles,True,h0,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5540430000000001,8.841264e-05,0.0001595772169308158,0.0001595772169308158,0.5540430000000001,7.761732851988312e-05,0.00012847190807935228,0.0002060732417448168,7.761732851988312e-05,-0.00012847190807935228,h0,0.012632387617976889,7.363358599108284e-08,0.0,False,True,True,0.55,8.8e-05
case_002|Clusters + singles|h0h1,case_002,Clusters + singles,Clusters + singles,True,h0h1,True,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5538890000000001,8.854512e-05,0.0001598607663268272,0.0001598607663268272,0.5538890000000001,0.00020036101083027478,0.0013697638650139,0.0015704395306960265,-0.00020036101083027478,0.0013697638650139,h0h1,0.012643605748631487,9.976920880340781e-07,0.0,False,True,True,0.55,8.8e-05
case_003|Random spaced|h0,case_003,Random spaced,Random spaced,True,h0,True,0.446,9.7078e-05,0.00021766367713004482,0.446,0.44608900000000007,9.711216e-05,0.00021769682731472863,0.00021769682731472863,0.44608900000000007,0.0001995515695068638,0.0003518819918004536,0.0001523000305834534,0.0001995515695068638,0.0003518819918004536,h0,0.014754552765662829,4.82214365290982e-07,0.0,False,True,True,0.45,9.6e-05
case_003|Random spaced|h0h1,case_003,Random spaced,Random spaced,True,h0h1,True,0.446,9.7078e-05,0.00021766367713004482,0.446,0.4460120000000001,9.710112e-05,0.0002177096580361066,0.0002177096580361066,0.4460120000000001,2.6905829596563928e-05,0.00023815900616004263,0.00021124749277442298,2.6905829596563928e-05,0.00023815900616004263,h0h1,0.014754987564756081,2.2657539395538954e-08,0.0,False,True,True,0.45,9.6e-05
