homology_dimension,birth,death,persistence
0,-0.34397159178442527,-0.26220456880549703,0.08176702297892824
0,-0.22617354708347337,-0.19189503014275844,0.03427851694071493
0,-0.5981750689350662,-0.1837700830961162,0.41440498583895
0,-0.26554429140753655,-0.1726532918831214,0.09289099952441515
0,-0.23740658966277972,-0.10769718823914731,0.1297094014236324
0,-0.11791793366074321,-0.09201407063029032,0.02590386303045289
0,-0.296614806928964,-0.0912755012787585,0.20533930565020553
0,-0.440005572798573,-0.06424935043804214,0.37575622236053086
0,-0.6796725107141675,0.07913145166894053,0.758803962383108
0,-0.7216208236634041,0.17346683329669543,0.8950876569600995
0,-0.23425799069415443,0.4140794561967588,0.6483374468909132
0,-0.2931059812941095,0.6740593589309278,0.9671653402250373
0,-0.29384080258315715,0.7048350474451167,0.9986758500282739
0,-0.7302817532740842,0.9999999999660891,1.7302817532401733
1,-0.07106267432002844,-0.023575683156074057,0.047486991163954384
1,0.24137723883641893,0.29226392914642285,0.050886690310003924
1,0.6574904442615297,0.8139625454089117,0.15647210114738197
1,0.9022712584428464,0.9234938233430644,0.02122256490021801
1,0.8211344787854455,0.9335377566076193,0.11240327782217374
1,0.9553399734558055,0.9809421500155016,0.0256021765596961
1,0.9456397671090866,0.9987256754784352,0.05308590836934857
