arm,case_id,ic_name,true_rhat,true_dhat,true_alpha,estimated_rhat,estimated_dhat,estimated_alpha,success,rhat_signed,dhat_signed,alpha_signed
inverse_crime,case_000,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.73892,9.573216e-05,0.00012955686677854165,True,-0.00010825439783487008,-0.0002802869704153902,-0.00017205119787933154
grid_only,case_000,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.73892,0.00010008192,0.00013544351215287175,True,-0.00010825439783487008,0.045143746279723056,0.045256899936008274
operator_only,case_000,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.733299,9.229872e-05,0.00012586778380987838,True,-0.00771447902571036,-0.03613529798765655,-0.02864177533704281
full_mismatch,case_000,Random spaced,0.739,9.5759e-05,0.00012957916102841678,0.7384580000000001,9.886752e-05,0.00013388374152626146,True,-0.0007334235453314363,0.03246190958552192,0.033219697238977185
inverse_crime,case_000,One central cluster,0.739,9.5759e-05,0.00012957916102841678,0.7389970000000001,9.564384e-05,0.00012942385422403605,True,-4.05953991862547e-06,-0.0012026023663572704,-0.0011985476919909302
grid_only,case_000,One central cluster,0.739,9.5759e-05,0.00012957916102841678,0.739074,9.969552e-05,0.00013489247355474553,True,0.00010013531799731867,0.04110861642247719,0.04100437511833814
operator_only,case_000,One central cluster,0.739,9.5759e-05,0.00012957916102841678,0.733299,9.225456e-05,0.0001258075628086224,True,-0.00771447902571036,-0.036596455685627485,-0.02910651828473614
full_mismatch,case_000,One central cluster,0.739,9.5759e-05,0.00012957916102841678,0.7383040000000001,9.903312000000001e-05,0.00013413596567267682,True,-0.000941813261163625,0.03419125095291309,0.035166184192693815
inverse_crime,case_000,Many clusters,0.739,9.5759e-05,0.00012957916102841678,0.7389970000000001,9.586463999999999e-05,0.00012972263757498337,True,-4.05953991862547e-06,0.00110318612349743,0.0011072501583423776
grid_only,case_000,Many clusters,0.739,9.5759e-05,0.00012957916102841678,0.73892,9.987215999999999e-05,0.00013515963839116546,True,-0.00010825439783487008,0.04295324721436095,0.04306616371381566
operator_only,case_000,Many clusters,0.739,9.5759e-05,0.00012957916102841678,0.7337610000000001,9.304944e-05,0.0001268116457538626,True,-0.0070893098782136435,-0.028295617122150424,-0.02135771873030775
full_mismatch,case_000,Many clusters,0.739,9.5759e-05,0.00012957916102841678,0.7384580000000001,9.920976e-05,0.00013434719374697004,True,-0.0007334235453314363,0.03603588174479685,0.0367962925574709
inverse_crime,case_000,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.738843,9.58536e-05,0.000129734733901519,True,-0.00021244925575096446,0.0009878966990048365,0.001200601021549377
grid_only,case_000,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.739228,9.973968e-05,0.00013492411001747768,True,0.0003085250338295074,0.04156977412044813,0.04124852288470018
operator_only,case_000,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.7337610000000001,9.346895999999999e-05,0.00012738338505317124,True,-0.0070893098782136435,-0.023914618991426495,-0.01694544059259657
full_mismatch,case_000,Clusters + singles,0.739,9.5759e-05,0.00012957916102841678,0.738612,9.920976e-05,0.00013431918246657244,True,-0.0005250338294992476,0.03603588174479685,0.03658012137550545
inverse_crime,case_001,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.852033,9.964032000000001e-05,0.00011694420286538199,True,3.87323943662685e-05,-0.00039807383627592306,-0.0004367893127462039
grid_only,case_001,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.851956,0.00010371408000000001,0.00012173642770283912,True,-5.164319248818425e-05,0.040470304975923105,0.04052404095925895
operator_only,case_001,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.8447950000000001,9.658224e-05,0.00011432624482862705,True,-0.00845657276995294,-0.031077046548956662,-0.022813396930274392
full_mismatch,case_001,Random spaced,0.852,9.968e-05,0.00011699530516431924,0.85134,0.00010278672,0.00012073521742194658,True,-0.0007746478873239366,0.031166934189406133,0.03196634473814697
inverse_crime,case_001,One central cluster,0.852,9.968e-05,0.00011699530516431924,0.852033,9.957408000000001e-05,0.0001168664593976994,True,3.87323943662685e-05,-0.0010626003210271156,-0.0011012900597924431
grid_only,case_001,One central cluster,0.852,9.968e-05,0.00011699530516431924,0.852033,0.00010380240000000001,0.00012182908408477137,True,3.87323943662685e-05,0.041356340288924695,0.041316007626657464
operator_only,case_001,One central cluster,0.852,9.968e-05,0.00011699530516431924,0.84441,9.628416e-05,0.0001140253668241731,True,-0.008908450704225336,-0.03406741573033703,-0.025385107000446615
full_mismatch,case_001,One central cluster,0.852,9.968e-05,0.00011699530516431924,0.851186,0.0001029192,0.000120912702981487,True,-0.0009553990610328421,0.03249598715890852,0.03348337620612888
inverse_crime,case_001,Many clusters,0.852,9.968e-05,0.00011699530516431924,0.851956,9.959616e-05,0.00011690293864941381,True,-5.164319248818425e-05,-0.0008410914927768541,-0.0007894890720247679
grid_only,case_001,Many clusters,0.852,9.968e-05,0.00011699530516431924,0.852033,0.00010359264,0.00012158289643710982,True,3.87323943662685e-05,0.039252006420545785,0.03921175526101096
operator_only,case_001,Many clusters,0.852,9.968e-05,0.00011699530516431924,0.8447950000000001,9.717840000000001e-05,0.00011503193082345422,True,-0.00845657276995294,-0.025096308186195657,-0.016781650666302158
full_mismatch,case_001,Many clusters,0.852,9.968e-05,0.00011699530516431924,0.851263,0.00010316207999999999,0.00012118708319285578,True,-0.0008650234741783893,0.03493258426966289,0.035828600324168625
inverse_crime,case_001,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.851956,9.962928e-05,0.0001169418138964923,True,-5.164319248818425e-05,-0.0005088282504012578,-0.00045720866962842483
grid_only,case_001,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.85211,0.00010359264,0.00012157190972996443,True,0.00012910798122072123,0.039252006420545785,0.03911784801293843
operator_only,case_001,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.8461040000000001,9.523536e-05,0.000112557510660628,True,-0.006920187793427114,-0.04458908507223105,-0.037931389618227715
full_mismatch,case_001,Clusters + singles,0.852,9.968e-05,0.00011699530516431924,0.85134,0.00010328352,0.00012131876805976461,True,-0.0007746478873239366,0.03615088282504022,0.03695415717214541
inverse_crime,case_002,Random spaced,0.554,8.8424e-05,0.0001596101083032491,0.554197,8.828016e-05,0.0001592938251199483,True,0.000355595667870041,-0.0016267076811726047,-0.0019815987011291333
grid_only,case_002,Random spaced,0.554,8.8424e-05,0.0001596101083032491,0.5538890000000001,9.246432e-05,0.000166936552269498,True,-0.00020036101083027478,0.04569257215235672,0.045902130160385086
operator_only,case_002,Random spaced,0.554,8.8424e-05,0.0001596101083032491,0.5510400000000001,8.480255999999999e-05,0.00015389547038327522,True,-0.005342960288808597,-0.040955396724871244,-0.035803734366976474
full_mismatch,case_002,Random spaced,0.554,8.8424e-05,0.0001596101083032491,0.553658,9.139344e-05,0.00016507201196406447,True,-0.000617328519855712,0.03358183298651944,0.03422028666529129
inverse_crime,case_002,One central cluster,0.554,8.8424e-05,0.0001596101083032491,0.5540430000000001,8.84016e-05,0.00015955729067960428,True,7.761732851988312e-05,-0.00025332488917045664,-0.0003309165328330559
grid_only,case_002,One central cluster,0.554,8.8424e-05,0.0001596101083032491,0.5540430000000001,9.238704e-05,0.0001667506673669733,True,7.761732851988312e-05,0.044818601284718984,0.044737511550067964
operator_only,case_002,One central cluster,0.554,8.8424e-05,0.0001596101083032491,0.550501,8.523312e-05,0.00015482827460803884,True,-0.006315884476534349,-0.036086130462318025,-0.029959466515272818
full_mismatch,case_002,One central cluster,0.554,8.8424e-05,0.0001596101083032491,0.5534270000000001,9.14928e-05,0.0001653204487674074,True,-0.0010342960288807484,0.03470550981633938,0.03577680965737468
inverse_crime,case_002,Many clusters,0.554,8.8424e-05,0.0001596101083032491,0.5541200000000001,8.84568e-05,0.00015963473615823284,True,0.00021660649819496206,0.0003709400162850652,0.00015430009568660587
grid_only,case_002,Many clusters,0.554,8.8424e-05,0.0001596101083032491,0.5538890000000001,9.250848e-05,0.00016701627943504924,True,-0.00020036101083027478,0.046191984076721135,0.04640164216748029
operator_only,case_002,Many clusters,0.554,8.8424e-05,0.0001596101083032491,0.550116,8.671248e-05,0.00015762580982919965,True,-0.007010830324909744,-0.01935583099610973,-0.012432160438607079
full_mismatch,case_002,Many clusters,0.554,8.8424e-05,0.0001596101083032491,0.553658,9.189024e-05,0.00016596931679845682,True,-0.000617328519855712,0.03920021713561929,0.039842141345619725
inverse_crime,case_002,Clusters + singles,0.554,8.8424e-05,0.0001596101083032491,0.5538890000000001,8.854512e-05,0.0001598607663268272,True,-0.00020036101083027478,0.0013697638650139,0.0015704395306960265
grid_only,case_002,Clusters + singles,0.554,8.8424e-05,0.0001596101083032491,0.5538890000000001,9.249744e-05,0.00016699634764366143,True,-0.00020036101083027478,0.04606713109563003,0.046276764165706495
operator_only,case_002,Clusters + singles,0.554,8.8424e-05,0.0001596101083032491,0.5508090000000001,8.878799999999999e-05,0.00016119562316519877,True,-0.0057599277978338335,0.004116529449018196,0.009933674494708647
full_mismatch,case_002,Clusters + singles,0.554,8.8424e-05,0.0001596101083032491,0.5537350000000001,9.203375999999999e-05,0.00016620542317173374,True,-0.00047833935018043265,0.04082330588980349,0.041321410896820884
inverse_crime,case_003,Random spaced,0.446,9.7078e-05,0.00021766367713004482,0.4460120000000001,9.710112e-05,0.0002177096580361066,True,2.6905829596563928e-05,0.00023815900616004263,0.00021124749277442298
grid_only,case_003,Random spaced,0.446,9.7078e-05,0.00021766367713004482,0.4460120000000001,0.00010119696,0.00022689290871097633,True,2.6905829596563928e-05,0.0424293866787532,0.04240134000592778
operator_only,case_003,Random spaced,0.446,9.7078e-05,0.00021766367713004482,0.444164,9.373392e-05,0.0002110344827586207,True,-0.004116591928251131,-0.03444735161416585,-0.030456135166105146
full_mismatch,case_003,Random spaced,0.446,9.7078e-05,0.00021766367713004482,0.44624300000000006,9.993839999999999e-05,0.00022395510965998342,True,0.0005448430493274635,0.029464966315746074,0.02890437491864912
inverse_crime,case_003,One central cluster,0.446,9.7078e-05,0.00021766367713004482,0.445935,9.713424e-05,0.00021782152107369907,True,-0.0001457399103138604,0.0005793279630812755,0.0007251735601248066
grid_only,case_003,One central cluster,0.446,9.7078e-05,0.00021766367713004482,0.44578100000000004,0.0001010976,0.0002267875930109179,True,-0.0004910313901344602,0.0414058798079895,0.041917494003475504
operator_only,case_003,One central cluster,0.446,9.7078e-05,0.00021766367713004482,0.44347100000000006,9.346895999999999e-05,0.0002107667919661037,True,-0.00567040358744383,-0.03717670326953586,-0.03168597193100121
full_mismatch,case_003,One central cluster,0.446,9.7078e-05,0.00021766367713004482,0.44608900000000007,0.00010028064,0.00022479962518690214,True,0.0001995515695068638,0.032990378870598955,0.03278428514553623
inverse_crime,case_003,Many clusters,0.446,9.7078e-05,0.00021766367713004482,0.4460120000000001,9.693551999999999e-05,0.0002173383675775539,True,2.6905829596563928e-05,-0.001467685778446261,-0.001494551395897636
grid_only,case_003,Many clusters,0.446,9.7078e-05,0.00021766367713004482,0.4460120000000001,0.00010103136,0.00022652161825242366,True,2.6905829596563928e-05,0.040723541894147036,0.040695541117255846
operator_only,case_003,Many clusters,0.446,9.7078e-05,0.00021766367713004482,0.44424100000000005,9.428592e-05,0.00021224047307655077,True,-0.003943946188340706,-0.02876120233214517,-0.0249155216203295
full_mismatch,case_003,Many clusters,0.446,9.7078e-05,0.00021766367713004482,0.44585800000000003,0.0001004904,0.00022538655805211523,True,-0.00031838565022416024,0.03515111559776676,0.03548079782487697
inverse_crime,case_003,Clusters + singles,0.446,9.7078e-05,0.00021766367713004482,0.44616600000000006,9.711216e-05,0.00021765925686851977,True,0.00037219730941716366,0.0003518819918004536,-2.030775912331536e-05
grid_only,case_003,Clusters + singles,0.446,9.7078e-05,0.00021766367713004482,0.44608900000000007,0.00010117488,0.0002268042475828814,True,0.0001995515695068638,0.04220194070747238,0.04199400916752632
operator_only,case_003,Clusters + singles,0.446,9.7078e-05,0.00021766367713004482,0.444549,9.506976e-05,0.00021385665022303504,True,-0.003253363228699507,-0.02068687035167585,-0.01749040977900619
full_mismatch,case_003,Clusters + singles,0.446,9.7078e-05,0.00021766367713004482,0.445935,9.992736e-05,0.0002240850348144909,True,-0.0001457399103138604,0.029351243330105803,0.029501282754722507
inverse_crime,case_004,Random spaced,0.919,0.000132925,0.00014464091403699672,0.9191000000000001,0.00013287072000000002,0.00014456611902948535,True,0.00010881392818291622,-0.00040835057363156193,-0.000517108233236432
grid_only,case_004,Random spaced,0.919,0.000132925,0.00014464091403699672,0.9189460000000002,0.000136812,0.00014887925949947002,True,-5.8759521218593545e-05,0.02924205378973104,0.02930253511388345
operator_only,case_004,Random spaced,0.919,0.000132925,0.00014464091403699672,0.9103990000000001,0.00012934896,0.00014207941792554693,True,-0.00935908596300323,-0.026902689486552445,-0.01770934682281255
full_mismatch,case_004,Random spaced,0.919,0.000132925,0.00014464091403699672,0.918022,0.00013596192,0.00014810311735448603,True,-0.0010642002176278937,0.02284686853488809,0.023936542025748936
inverse_crime,case_004,One central cluster,0.919,0.000132925,0.00014464091403699672,0.9191770000000001,0.000132948,0.0001446380838510972,True,0.0001926006528836711,0.00017302990408132237,-1.956698018928365e-05
grid_only,case_004,One central cluster,0.919,0.000132925,0.00014464091403699672,0.9190230000000001,0.00013699968,0.0001490710025755612,True,2.5027203482161336e-05,0.030653977807034112,0.03062818406575709
operator_only,case_004,One central cluster,0.919,0.000132925,0.00014464091403699672,0.9114000000000001,0.00012890736,0.0001414388413429888,True,-0.008269858541893297,-0.03022486364491257,-0.02213808392547143
