homology_dimension,birth,death,persistence
0,0.21531432885837976,0.24386110765515856,0.028546778796778804
0,0.1321872757798146,0.27322687326539397,0.14103959748557937
0,0.2458297204008919,0.2798020200733575,0.03397229967246562
0,0.25454633993636266,0.3041308693518706,0.04958452941550795
0,0.23247952683036843,0.3099069713863034,0.07742744455593498
0,0.1823234401703464,0.3243821951803314,0.142058755009985
0,0.10739618046526,0.38610448960385735,0.27870830913859734
0,0.09502137629731044,0.4316212290716972,0.33659985277438675
0,0.25745237130266607,0.5617738129541886,0.30432144165152253
0,0.23577283893092027,0.7296110062803902,0.49383816734946995
0,0.23486269830214335,0.7527656427466525,0.5179029444445091
0,0.09302796339737562,0.9999964561875294,0.9069684927901538
1,0.31975979462074455,0.34129815959098586,0.021538364970241308
1,0.46857385933813767,0.5016843355158003,0.03311047617766261
1,0.7190076555003173,0.8331828800964834,0.11417522459616614
1,0.8402219487539954,0.9382249446196509,0.09800299586565553
1,0.9571098382935985,0.9808911003689136,0.023781262075315057
1,0.9476121590499278,0.9979655897215954,0.05035343067166764
