sigma_factor,sigma_hat_true,sigma_hat_assumed,case_id,true_length_scale_ratio,rhat_signed,dhat_signed,alpha_signed
0.8,0.009600000000000001,0.012,case_000,0.011383284281279141,0.01562516914749673,-0.26901993546298525,-0.2802659024779876
0.8,0.009600000000000001,0.012,case_001,0.010816436805358742,0.013323943661971996,-0.2504815409309791,-0.26033677210824124
0.8,0.009600000000000001,0.012,case_002,0.012633689417713619,0.01661732851985568,-0.28566723966343993,-0.29734351333889514
0.8,0.009600000000000001,0.012,case_003,0.014753429334566415,0.01332062780269065,-0.26405405962215944,-0.2737284525889068
0.9,0.0108,0.012,case_000,0.011383284281279141,0.006976995940460148,-0.13920404348416335,-0.1451682014722676
0.9,0.0108,0.012,case_001,0.010816436805358742,0.006003521126760671,-0.13119903691813797,-0.13638377516932226
0.9,0.0108,0.012,case_002,0.012633689417713619,0.009250902527075895,-0.15394734461232254,-0.16170235442025796
0.9,0.0108,0.012,case_003,0.014753429334566415,0.007278026905829656,-0.13929994437462656,-0.14551888094959872
0.95,0.0114,0.012,case_000,0.011383284281279141,0.003434370771312639,-0.07026096763750668,-0.07344310754690583
0.95,0.0114,0.012,case_001,0.010816436805358742,0.0034730046948357337,-0.06895505617977518,-0.07217738846560885
0.95,0.0114,0.012,case_002,0.012633689417713619,0.002996389891696741,-0.07753732018456529,-0.08029312058137922
0.95,0.0114,0.012,case_003,0.014753429334566415,0.002789237668161486,-0.07186221388986175,-0.07444381007878993
1.0,0.012,0.012,case_000,0.011383284281279141,0.00041271989174575203,-0.0006261552438934537,-0.001038446548092261
1.0,0.012,0.012,case_001,0.010816436805358742,-0.00023239436619708974,0.00059871589085073,0.0008313034472855822
1.0,0.012,0.012,case_002,0.012633689417713619,-6.137184115539622e-05,0.0002460870351941141,0.0003074777468249525
1.0,0.012,0.012,case_003,0.014753429334566415,0.0005448430493274635,-0.000671624878963245,-0.0012158055051119125
1.05,0.0126,0.012,case_000,0.011383284281279141,-0.003650879566982379,0.0753495754968202,0.07928993306027982
1.05,0.0126,0.012,case_001,0.010816436805358742,-0.0029436619718309328,0.07026324237560198,0.0734230369491566
1.05,0.0126,0.012,case_002,0.012633689417713619,-0.003397111913357291,0.08052655387677544,0.08420973568645379
1.05,0.0126,0.012,case_003,0.014753429334566415,-0.0037713004484304065,0.07461299161499006,0.07868102183635498
1.1,0.013200000000000002,0.012,case_000,0.011383284281279141,-0.006464140730717077,0.15293935818043214,0.16044060959046394
1.1,0.013200000000000002,0.012,case_001,0.010816436805358742,-0.006287558685445945,0.1471268057784913,0.1543850696495153
1.1,0.013200000000000002,0.012,case_002,0.012633689417713619,-0.0075667870036100595,0.16879761150818776,0.17770908530893684
1.1,0.013200000000000002,0.012,case_003,0.014753429334566415,-0.006015695067264429,0.15365046663507706,0.16063247770612069
1.2,0.0144,0.012,case_000,0.011383284281279141,-0.011361299052773964,0.33152267671968166,0.3468243509422952
1.2,0.0144,0.012,case_001,0.010816436805358742,-0.011258215962441238,0.3122616372391655,0.32720358178907244
1.2,0.0144,0.012,case_002,0.012633689417713619,-0.01159747292418775,0.3581995838233963,0.3741360899203974
1.2,0.0144,0.012,case_003,0.014753429334566415,-0.010504484304932723,0.3273054657079875,0.34139614041163885
