Rank,PDE,Median_R2
1,CHlin,1.0
2,R+Adv+Hyper,1.0
3,R+Adv+FracDiff,1.0
4,R+Adv+Nonlocal,1.0
5,R+Adv+Hyper+SH,1.0
6,R+Diff+Nonlocal,1.0
7,R+Diff+Adv+SH,1.0
8,R+Adv+SH,1.0
9,R+Adv+Sixth,1.0
10,R+Diff+Adv,1.0
11,R+Diff,1.0
12,R+Diff+Adv+Hyper,1.0
13,R+Diff+Adv+Hyper+SH,1.0
14,R+Diff+Loss,1.0
15,R+Diff+Hyper+SH,1.0
16,R+Diff+Disp,1.0
17,R+FracDiff+Disp,1.0
18,R+Disp+Nonlocal,1.0
19,R+Disp+Sixth,1.0
20,R+FracDiff,1.0
21,R+Diff+SH,1.0
22,R+Sixth,1.0
23,R+SH+Disp,1.0
24,R+SH+Loss,1.0
25,R+SH,1.0
26,R+Loss+Nonlocal,1.0
27,R+Hyper+Loss,1.0
28,R+Hyper,1.0
29,R+FracDiff+Loss,1.0
30,R+Hyper+Nonlocal,1.0
31,R+Hyper+Disp,1.0
32,R+Sixth+Loss,1.0
33,R+KSlin,1.0
34,R+Nonlocal,1.0
35,R+Mixed,1.0
36,R+Hyper+SH,0.9999999999999998
37,R+Diff+FracDiff,0.9999999999999991
38,R+Diff+Hyper,0.9999999999999989
39,R+SH+Sixth,0.9999999999999822
40,R+Diff+Sixth,0.9999999999998818
41,R+Hyper+FracDiff,0.999999999997552
42,R+FracDiff+Sixth,0.9999999999767082
43,R+Hyper+Sixth,0.9999999999704225
44,R+FracDiff+Nonlocal,0.9999895823551748
45,R+SH+FracDiff,0.9989241312871813
46,R+Sixth+Nonlocal,0.9989042706914397
47,R+SH+Nonlocal,0.9960404821967022
48,R+Adv+Disp,0.0
49,R+Adv,0.0
50,R+Adv+Loss,0.0
51,R+Disp,0.0
52,R+Disp+Loss,0.0
53,R+Loss,0.0
